Image Filename,Title,Rooms,Area (m²),Price (₽)
1-комнатная,38.79
1-комнатная,39.10
1-комнатная,39.39
1-комнатная,39.37
1-комнатная,39.36
1-комнатная,29.14
1-комнатная,29.32
1-комнатная,38.99
1-комнатная,39.99
1-комнатная,39.76
1-комнатная,40.07
1-комнатная,40.05
1-комнатная,41.08
1-комнатная,40.06
1-комнатная,41.11
1-комнатная,40.77
1-комнатная,41.15
1-комнатная,40.33
1-комнатная,38.54
1-комнатная,39.34
1-комнатная,40.42
1-комнатная,40.65
1-комнатная,38.34
1-комнатная,40.74
1-комнатная,39.47
1-комнатная,38.45
1-комнатная,38.78
1-комнатная,40.68
1-комнатная,39.42
1-комнатная,38.39
1-комнатная,37.36
1-комнатная,38.75
1-комнатная,42.13
1-комнатная,40.59
1-комнатная,40.76
1-комнатная,41.43
1-комнатная,37.39
1-комнатная,39.63
1-комнатная,42.63
1-комнатная,38.87
1-комнатная,39.83
1-комнатная,42.70
1-комнатная,38.91
1-комнатная,39.94
1-комнатная,41.12
1-комнатная,42.89
1-комнатная,42.97
1-комнатная,41.89
1-комнатная,40.38
1-комнатная,41.45
1-комнатная,42.96
1-комнатная,37.58
1-комнатная,41.49
1-комнатная,42.99
1-комнатная,40.08
1-комнатная,41.93
1-комнатная,41.55
1-комнатная,41.96
1-комнатная,39.62
1-комнатная,40.20
1-комнатная,40.45
1-комнатная,37.66
1-комнатная,40.58
1-комнатная,43.81
1-комнатная,42.79
1-комнатная,32.10
1-комнатная,31.99
1-комнатная,38.98
1-комнатная,32.12
1-комнатная,31.87
1-комнатная,32.16
1-комнатная,31.92
1-комнатная,32.21
1-комнатная,38.84
1-комнатная,39.62
1-комнатная,39.66
1-комнатная,37.62
1-комнатная,37.60
1-комнатная,39.96
1-комнатная,32.08
1-комнатная,37.36
1-комнатная,37.13
1-комнатная,37.16
1-комнатная,37.29
1-комнатная,40.05
1-комнатная,40.03
1-комнатная,32.22
1-комнатная,37.33
1-комнатная,37.32
1-комнатная,37.79
1-комнатная,32.27
1-комнатная,38.17
1-комнатная,40.01
1-комнатная,38.57
1-комнатная,38.15
1-комнатная,38.18
1-комнатная,38.63
1-комнатная,38.71
1-комнатная,38.79
1-комнатная,38.97
1-комнатная,38.27
1-комнатная,38.30
1-комнатная,38.88
1-комнатная,38.21
1-комнатная,39.18
